Unique Bond No,URN,Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations,Issue Branch Code,Issue Teller,Status
TL11448,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,1000000,1,5899230,Paid
TL11447,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,1000000,1,5899230,Paid
TL11441,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,1000000,1,5899230,Paid
OL1113,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
OL1118,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
OL1112,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
OL1115,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
OL1119,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
OL1110,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
OL1111,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
OL1106,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
OL1114,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
OL1117,00001201904120000001166,2019-04-12,2019-04-12,2019-04-26,A B C INDIA LIMITED,100000,1,5899230,Paid
TL11556,00001201904120000001178,2019-04-12,2019-04-12,2019-04-26,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1000000,1,5899230,Paid
TL11555,00001201904120000001178,2019-04-12,2019-04-12,2019-04-26,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1000000,1,5899230,Paid
OL1125,00001201904120000001178,2019-04-12,2019-04-12,2019-04-26,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000,1,5899230,Paid
OL1129,00001201904120000001178,2019-04-12,2019-04-12,2019-04-26,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000,1,5899230,Paid
OL1124,00001201904120000001178,2019-04-12,2019-04-12,2019-04-26,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000,1,5899230,Paid
OL1128,00001201904120000001178,2019-04-12,2019-04-12,2019-04-26,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000,1,5899230,Paid
OL1126,00001201904120000001178,2019-04-12,2019-04-12,2019-04-26,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000,1,5899230,Paid
TL11551,00001201904120000001177,2019-04-12,2019-04-12,2019-04-26,ARIHANT ENTERPRISES,1000000,1,5899230,Paid
TL11554,00001201904120000001177,2019-04-12,2019-04-12,2019-04-26,ARIHANT ENTERPRISES,1000000,1,5899230,Paid
TL11553,00001201904120000001177,2019-04-12,2019-04-12,2019-04-26,ARIHANT ENTERPRISES,1000000,1,5899230,Paid
TL11552,00001201904120000001177,2019-04-12,2019-04-12,2019-04-26,ARIHANT ENTERPRISES,1000000,1,5899230,Paid
TL12904,00300201904120000001173,2019-04-12,2019-04-12,2019-04-26,CHOUDHARY GARMENTS,1000000,300,4180496,Paid
TL12902,00300201904120000001173,2019-04-12,2019-04-12,2019-04-26,CHOUDHARY GARMENTS,1000000,300,4180496,Paid
OC6297,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6275,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6261,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6278,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6262,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6274,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6257,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6273,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6272,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6280,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6251,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC4597,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6279,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6296,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6256,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6286,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6298,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6267,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC4632,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6284,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6254,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6292,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6268,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6258,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6253,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6293,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6281,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6264,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6288,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6300,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6269,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC4598,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6263,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6270,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6283,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6299,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6271,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
